type,owner,label,product,value,interval,updatedValue
DEPOSIT,PERSONAL,TIPICO,sports,900.0,MONTH,800
DEPOSIT,PERSONAL,GAMES,sports,900.0,MONTH,800
DEPOSIT,PERSONAL,MYSINO,sports,900.0,MONTH,800
DEPOSIT,AML,TIPICO,sports,900.0,MONTH,800
DEPOSIT,AML,GAMES,sports,900.0,MONTH,800
DEPOSIT,AML,MYSINO,sports,900.0,MONTH,800
TURNOVER,PERSONAL,GAMES,sports,900.0,MONTH,800
TURNOVER,PERSONAL,MYSINO,sports,900.0,MONTH,800
TURNOVER,AML,TIPICO,sports,900.0,MONTH,800
TURNOVER,AML,GAMES,sports,900.0,MONTH,800
TURNOVER,AML,MYSINO,sports,900.0,MONTH,800
LOSS,PERSONAL,TIPICO,sports,900.0,MONTH,800
LOSS,PERSONAL,GAMES,sports,900.0,MONTH,800
LOSS,PERSONAL,MYSINO,sports,900.0,MONTH,800
LOSS,AML,TIPICO,sports,900.0,MONTH,800
LOSS,AML,GAMES,sports,900.0,MONTH,800
LOSS,AML,MYSINO,sports,900.0,MONTH,800
DEPOSIT,PERSONAL,TIPICO,games,900.0,MONTH,800
DEPOSIT,PERSONAL,GAMES,games,900.0,MONTH,800
DEPOSIT,PERSONAL,MYSINO,games,900.0,MONTH,800
DEPOSIT,AML,TIPICO,games,900.0,MONTH,800
DEPOSIT,AML,GAMES,games,900.0,MONTH,800
DEPOSIT,AML,MYSINO,games,900.0,MONTH,800
TURNOVER,PERSONAL,TIPICO,games,900.0,MONTH,800
TURNOVER,PERSONAL,GAMES,games,900.0,MONTH,800
TURNOVER,PERSONAL,MYSINO,games,900.0,MONTH,800
TURNOVER,AML,TIPICO,games,900.0,MONTH,800
TURNOVER,AML,GAMES,games,900.0,MONTH,800
TURNOVER,AML,MYSINO,games,900.0,MONTH,800
LOSS,PERSONAL,TIPICO,games,900.0,MONTH,800
LOSS,PERSONAL,GAMES,games,900.0,MONTH,800
LOSS,PERSONAL,MYSINO,games,900.0,MONTH,800
LOSS,AML,TIPICO,games,900.0,MONTH,800
LOSS,AML,GAMES,games,900.0,MONTH,800
LOSS,AML,MYSINO,games,900.0,MONTH,800
